Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 20,Volume ,,Open-Change,Open-High-Highest,Open-Low-Lowest
4/16/2012 0:00,172,192.1,168.6,179,42.07585,24.39057,882800,,(7.48),,-1.98
4/17/2012 0:00,166.8,168.2,155.2,159.8,38.5829,-31.5734,667900,,(6.82),,-6.95
4/18/2012 0:00,163.7,168.1,155.8,163.7,39.67832,-19.5297,524800,,2.44 ,,
4/19/2012 0:00,163.6,176.5,156,166.8,40.58545,0.8072096,1011100,,(0.06),,
4/20/2012 0:00,159.8,160.4,152.8,156.3,38.47496,-40.52505,939500,,(4.20),,
4/23/2012 0:00,171.2,178,164.3,166,41.50135,21.6496,1026600,,9.53 ,3.97,
4/24/2012 0:00,165,166.7,158.1,158.1,39.7849,-28.29721,606100,,(0.60),,
4/25/2012 0:00,145.6,146.9,138.6,139.2,35.95371,-127.5726,796400,,(7.91),,-4.81
4/26/2012 0:00,140,140.8,126.8,129.3,34.10127,-154.1615,781400,,0.57 ,,
4/27/2012 0:00,128.1,133.8,126.2,128.4,33.93012,-147.9452,644200,,(0.93),,
4/30/2012 0:00,131.8,135.7,130,134.4,36.22802,-123.8865,536500,,2.65 ,,
5/1/2012 0:00,133.7,134.2,122.5,125.7,34.36183,-139.5023,819700,,(0.52),,
5/2/2012 0:00,131.6,134,125.5,127.8,35.22914,-120.2376,678200,,4.69 ,,
5/3/2012 0:00,126.2,136.7,124.2,133.3,37.55635,-96.27545,791300,,(1.25),,
5/4/2012 0:00,136,149.4,135.5,145.7,42.56665,-49.27806,1189800,,2.03 ,,
5/7/2012 0:00,151.7,153.2,137.3,140.7,41.13346,-43.33641,834400,,4.12 ,,
5/8/2012 0:00,146.2,161.2,141.7,143.4,42.26393,-18.92141,1496200,,3.91 ,,
5/9/2012 0:00,157.5,163.3,145.1,154.5,46.78815,11.93636,1625800,,9.83 ,3.68,
5/10/2012 0:00,145.1,149.1,140.6,144.2,43.39042,-24.18189,958600,,(6.08),,-3.10
5/11/2012 0:00,151.6,152,139.1,148.3,45.09949,-8.84812,1226300,,5.13 ,0.26,
5/14/2012 0:00,160.7,166.2,156.8,165.6,51.7226,88.56724,1399300,,8.36 ,3.42,
5/15/2012 0:00,166.5,183.3,159.9,181.9,56.98767,144.3365,1292200,,0.54 ,,
5/16/2012 0:00,176.2,196.1,170.4,194.2,60.48935,181.0981,1399000,,(3.13),,
5/17/2012 0:00,192.2,213.2,187,213.2,65.20206,220.159,1671200,,(1.03),,
5/18/2012 0:00,210,248.7,206.8,240.8,70.67409,248.0377,1785200,,(1.50),,
5/21/2012 0:00,237.5,244.3,185.1,185.6,52.79325,139.6985,1350400,,(1.37),,
5/22/2012 0:00,180.4,211,165,198.6,55.63975,88.7115,1318500,,(2.80),,
5/23/2012 0:00,209.7,221.9,188.1,192.1,53.89003,97.8747,1568800,,5.59 ,5.82,
5/24/2012 0:00,189.7,210.1,187.1,195,54.57636,79.15429,1479100,,(1.25),,
5/25/2012 0:00,194.7,197.3,189,191,53.39578,59.75002,1020300,,(0.15),,
5/29/2012 0:00,180.5,186.9,171.7,172.5,48.20235,18.32808,1151500,,(5.50),,-4.88
5/30/2012 0:00,182,195.7,181.4,195.7,54.21629,47.76739,897500,,5.51 ,7.53,
5/31/2012 0:00,198.2,218.9,186.7,200.2,55.30038,70.99142,1715400,,1.28 ,,
6/1/2012 0:00,231,236.2,218.8,234.7,62.61004,136.2027,1568400,,15.38 ,2.25,
6/4/2012 0:00,224.9,240.9,214.6,216,57.15435,110.5615,1314000,,(4.18),,
6/5/2012 0:00,220.2,220.8,202.7,206.2,54.47533,65.57238,916400,,1.94 ,,
6/6/2012 0:00,193.5,196.5,176,176.5,47.24733,-25.84772,984800,,(6.16),,-9.04
6/7/2012 0:00,160.4,174.6,158.4,171.8,46.20258,-82.3392,1247400,,(9.12),,-1.25
6/8/2012 0:00,174.1,176,153.3,154.1,42.40015,-116.2514,1073000,,1.34 ,,
6/11/2012 0:00,142.5,179.7,140.7,178.5,48.67142,-106.1267,1323100,,(7.53),,-1.26
6/12/2012 0:00,175.6,188.1,169.6,172.1,47.21922,-70.56009,1896100,,(1.62),,
6/13/2012 0:00,180.7,195,170.6,189.2,51.39232,-39.33783,1535400,,5.00 ,,
6/14/2012 0:00,186.8,192.5,165.5,166.3,46.13203,-77.17649,1727200,,(1.27),,
6/15/2012 0:00,163.1,167.4,148,151.8,43.12228,-136.5507,1186000,,(1.92),,
