Date,Open,High,Low,Close,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
4/24/2019 11:45:00 AM,190.5,190.69,190.5,190.52,189.3482,65.33081,103.4077
4/24/2019 12:00:00 PM,190.51,190.51,190.19,190.2,189.399,54.77625,-36.41011
4/24/2019 12:15:00 PM,190.21,190.26,190.05,190.12,189.4488,52.49302,-99.13535
4/24/2019 12:30:00 PM,190.13,190.23,190.08,190.19,189.5012,54.28862,-75.88474
4/24/2019 12:45:00 PM,190.2,190.21,190.03,190.06,189.552,50.47344,-100.1775
4/24/2019 1:00:00 PM,190.06,190.12,189.8,189.84,189.597,44.74307,-152.9444
4/24/2019 1:15:00 PM,189.84,189.93,189.76,189.84,189.641,39.86852,-145.8637
4/24/2019 1:30:00 PM,189.83,190.07,189.82,190.05,189.6872,45.92472,-92.10268
4/24/2019 1:45:00 PM,190.05,190.17,190.02,190.13,189.7346,48.0704,-45.41105
4/24/2019 2:00:00 PM,190.13,190.16,190,190.02,189.7792,45.40276,-52.21615
4/24/2019 2:15:00 PM,190.02,190.14,189.97,190.13,189.8274,48.48166,-40.7655
4/24/2019 2:30:00 PM,190.13,190.17,189.95,190.01,189.8722,45.46901,-47.01307
4/24/2019 2:45:00 PM,190.01,190.15,189.97,190.11,189.9204,48.34933,-27.80874
4/24/2019 3:00:00 PM,190.11,190.26,190.11,190.2,189.9698,50.86454,44.68433
4/24/2019 3:15:00 PM,190.21,190.27,190.11,190.15,190.0152,49.42443,72.69075
4/24/2019 3:30:00 PM,190.15,190.16,190.05,190.08,190.0574,47.40136,24.44478
4/24/2019 3:45:00 PM,190.08,190.14,189.98,190.13,190.081,49.00723,16.78827
4/24/2019 4:00:00 PM,190.12,190.18,189.65,189.69,190.094,38.01014,-161.0433
4/25/2019 9:45:00 AM,191.15,191.22,190.39,190.68,190.1206,59.84393,355.7245
4/25/2019 10:00:00 AM,190.67,191.06,190.6,190.91,190.1506,63.09617,240.2822
4/25/2019 10:15:00 AM,190.91,191.11,189.79,189.86,190.1606,45.128,23.76172
