Date,Open,High,Low,Close,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
11/6/2017 12:00:00 AM,153.13,153.85,153.1,153.79,146.9864,75.31624,117.3979
11/7/2017 12:00:00 AM,153.67,154.08,153.34,153.88,147.2158,75.55798,104.9787
11/8/2017 12:00:00 AM,153.81,154.54,153.62,154.5,147.4464,77.21333,105.2264
11/9/2017 12:00:00 AM,153.23,153.77,152.11,153.69,147.6272,70.49601,65.56958
11/10/2017 12:00:00 AM,153.33,153.8,153.06,153.68,147.7768,70.41448,70.78595
11/13/2017 12:00:00 AM,153.1,154.07,153.1,153.87,147.9342,71.09773,70.77147
11/14/2017 12:00:00 AM,153.31,153.5,152.57,153.31,148.1066,66.24211,39.77954
11/15/2017 12:00:00 AM,152.61,153,151.78,152.59,148.2558,60.51924,-21.66036
11/16/2017 12:00:00 AM,153.36,154.89,153.33,154.54,148.4372,68.46533,109.1357
11/17/2017 12:00:00 AM,154.58,154.69,153.8,153.95,148.632,64.25173,91.60478
11/20/2017 12:00:00 AM,154.06,154.2,153.61,153.83,148.7912,63.39716,58.33421
11/21/2017 12:00:00 AM,154.56,155.57,154.49,155.5,148.9768,69.48095,171.4303
11/22/2017 12:00:00 AM,155.64,155.84,155.34,155.69,149.1622,70.09007,191.0724
11/24/2017 12:00:00 AM,155.85,156.31,155.76,156.26,149.3762,71.90184,183.7493
11/27/2017 12:00:00 AM,156.21,156.56,155.83,156.19,149.5788,71.33046,147.778
11/28/2017 12:00:00 AM,156.54,156.69,155.7,156.59,149.7996,72.66724,121.2589
11/29/2017 12:00:00 AM,156.45,156.45,153.12,153.86,149.9608,54.11963,2.336316
11/30/2017 12:00:00 AM,154.46,155.45,154.15,155.15,150.1568,59.39377,23.62282
12/1/2017 12:00:00 AM,154.2,155.24,152.26,154.49,150.3574,55.85601,-41.46888
12/4/2017 12:00:00 AM,155.46,155.63,152.56,152.71,150.5252,47.61792,-66.096
12/5/2017 12:00:00 AM,152.68,154.55,152.1,152.81,150.7254,48.08116,-99.39317
12/6/2017 12:00:00 AM,152.24,153.74,152.06,153.5,150.932,51.28286,-110.7359
12/7/2017 12:00:00 AM,153.49,154.46,153.33,154.02,151.1232,53.6049,-48.04873
12/8/2017 12:00:00 AM,155.1,155.53,154.46,154.7,151.329,56.52318,15.92348
12/11/2017 12:00:00 AM,154.77,155.95,154.76,155.9,151.538,61.16548,53.84524
12/12/2017 12:00:00 AM,155.83,156.15,155.36,155.69,151.7402,59.95896,62.95605
12/13/2017 12:00:00 AM,156.28,156.49,155.76,155.99,151.9422,61.13835,82.453
12/14/2017 12:00:00 AM,156.26,156.66,155.71,155.88,152.1392,60.43544,82.94639
12/15/2017 12:00:00 AM,156.49,157.82,156.23,157.65,152.343,67.00826,145.3191
12/18/2017 12:00:00 AM,158.29,158.77,158.07,158.64,152.5626,70.00937,184.3014
12/19/2017 12:00:00 AM,158.34,158.5,157.26,157.7,152.7668,64.05161,120.1464
12/20/2017 12:00:00 AM,158.25,158.28,156.91,157.53,152.9654,63.00732,92.17726
12/21/2017 12:00:00 AM,157.73,158.25,157.37,157.55,153.1556,63.0836,86.05849
12/22/2017 12:00:00 AM,157.31,157.43,156.95,157.37,153.3476,61.84784,56.82206
12/26/2017 12:00:00 AM,156.49,156.72,155.95,156.52,153.5112,56.24501,6.605406
12/27/2017 12:00:00 AM,156.53,156.96,156.39,156.54,153.665,56.34516,6.796652
12/28/2017 12:00:00 AM,157.04,157.07,156.54,156.73,153.8188,57.34465,3.994237
12/29/2017 12:00:00 AM,156.87,156.9,155.7,155.76,153.9568,50.93338,-62.83467
1/2/2018 12:00:00 AM,156.56,158.53,156.17,158.49,154.1604,63.3521,70.4887
1/3/2018 12:00:00 AM,158.64,160.17,158.61,160.03,154.3868,68.23598,201.919
1/4/2018 12:00:00 AM,160.58,160.79,160.08,160.31,154.6382,69.04375,205.9526
1/5/2018 12:00:00 AM,161.07,162.03,160.77,161.92,154.9168,73.25531,204.686
1/8/2018 12:00:00 AM,161.9,162.63,161.86,162.55,155.2192,74.7055,173.7068
1/9/2018 12:00:00 AM,162.87,163.04,162.07,162.56,155.5312,74.7289,137.1568
1/10/2018 12:00:00 AM,161.8,162.21,161.12,162.18,155.75,72.00035,91.87923
1/11/2018 12:00:00 AM,162.46,163.3,162.21,163.29,155.9842,74.88502,104.6469
1/12/2018 12:00:00 AM,163.03,164.66,162.94,164.49,156.231,77.57485,114.2207
1/16/2018 12:00:00 AM,165.58,166.42,163.53,164.02,156.4694,74.22193,112.3563
1/17/2018 12:00:00 AM,164.8,166.04,164,165.79,156.749,78.06664,113.1739
1/18/2018 12:00:00 AM,165.53,166.2,165.14,165.82,157,78.12622,114.2667
1/19/2018 12:00:00 AM,166.31,166.61,165.54,166.34,157.251,79.18128,115.2816
1/22/2018 12:00:00 AM,166.28,168.12,166.09,168.12,157.5358,82.32427,136.045
1/23/2018 12:00:00 AM,168.64,169.66,168.56,169.51,157.836,84.31557,161.1379
1/24/2018 12:00:00 AM,169.87,170.24,167.44,168.41,158.1304,76.92953,124.5026
1/25/2018 12:00:00 AM,169.55,169.63,167.81,168.35,158.4238,76.53571,105.2768
1/26/2018 12:00:00 AM,169.29,170.95,168.96,170.93,158.765,81.03233,131.542
1/29/2018 12:00:00 AM,170.57,170.91,169.74,170.1,159.1008,75.98736,109.8878
1/30/2018 12:00:00 AM,168.55,169.42,167.82,168.7,159.423,68.26671,55.89036
1/31/2018 12:00:00 AM,169.67,169.99,168.34,169.4,159.7202,69.91277,64.52015
2/1/2018 12:00:00 AM,168.1,169.73,167.42,167.96,160.0004,62.70681,28.38923
2/2/2018 12:00:00 AM,167.3,167.7,164.47,164.61,160.216,49.83731,-86.51747
2/5/2018 12:00:00 AM,163.07,165.75,158,158.12,160.2684,34.89557,-230.1728
2/6/2018 12:00:00 AM,155.81,162.51,155.1,162.31,160.4008,46.12564,-191.9698
