Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,,,,,,
9/3/2019 11:13,,,,,,9/3/2019 12:58,185.76,185.8,185.72,185.77,41.91401,-113.9825
9/3/2019 11:14,,,,,,9/3/2019 13:00,185.77,185.8,185.74,185.77,42.60712,-97.84242
9/3/2019 11:15,,,,,,9/3/2019 13:02,185.77,185.92,185.75,185.92,51.87419,-28.93921
9/3/2019 11:16,,,,,,9/3/2019 13:04,185.92,185.95,185.72,185.76,43.75751,-66.59838
9/3/2019 11:17,,,,,,9/3/2019 13:06,185.76,185.85,185.73,185.79,45.47994,-69.62221
9/3/2019 11:18,,,,,,9/3/2019 13:08,185.78,185.82,185.61,185.61,37.96687,-122.9734
9/3/2019 11:19,,,,,,9/3/2019 13:10,185.6,185.7,185.49,185.69,42.51257,-133.336
9/3/2019 11:20,,,,,,9/3/2019 13:12,185.69,185.75,185.67,185.73,44.69438,-70.95999
9/3/2019 11:21,,,,,,9/3/2019 13:14,185.72,185.72,185.57,185.68,42.52144,-98.16676
9/3/2019 11:22,,,,,,9/3/2019 13:16,185.68,185.73,185.63,185.66,41.64971,-79.69321
9/3/2019 11:23,,,,,,9/3/2019 13:18,185.66,185.72,185.62,185.7,44.11818,-68.3872
9/3/2019 11:24,,,,,,9/3/2019 13:20,185.72,185.72,185.57,185.63,40.86031,-95.7442
9/3/2019 11:25,,,,,,9/3/2019 13:22,185.63,185.63,185.48,185.48,34.91024,-173.7873
9/3/2019 11:26,,,,,,9/3/2019 13:24,185.48,185.54,185.43,185.43,33.176,-183.0893
9/3/2019 11:27,,,,,,9/3/2019 13:26,185.43,185.55,185.41,185.53,39.63486,-133.2801
9/3/2019 11:28,,,,,,9/3/2019 13:28,185.54,185.58,185.5,185.58,42.62115,-76.94162
9/3/2019 11:29,,,,,,9/3/2019 13:30,185.58,185.59,185.55,185.56,41.7317,-55.89505
9/3/2019 11:30,,,,,,9/3/2019 13:32,185.56,185.59,185.5,185.57,42.37967,-55.35634
9/3/2019 11:31,,,,,,9/3/2019 13:34,185.54,185.54,185.38,185.39,34.86988,-134.7879
9/3/2019 11:32,,,,,,9/3/2019 13:36,185.39,185.42,185.33,185.4,35.55273,-151.9351
9/3/2019 11:33,,,,,,9/3/2019 13:38,185.4,185.4,185.28,185.33,32.94753,-153.6624
9/3/2019 11:34,,,,,,9/3/2019 13:40,185.31,185.4,185.29,185.39,37.19593,-115.3212
9/3/2019 11:35,,,,,,9/3/2019 13:42,185.38,185.42,185.36,185.4,37.90177,-78.76608
9/3/2019 11:36,,,,,,9/3/2019 13:44,185.39,185.42,185.32,185.34,35.3345,-89.17741
9/3/2019 11:37,,,,,,9/3/2019 13:46,185.35,185.35,185.13,185.21,30.51229,-157.472
9/3/2019 11:38,,,,,,9/3/2019 13:48,185.2,185.27,185.18,185.2,30.17083,-143.5864
9/3/2019 11:39,,,,,,9/3/2019 13:50,185.21,185.25,185.1,185.22,31.8131,-137.7692
