Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,,,,
1/23/2018 0:00,119.71,120.06,115.8,118.69,76.01645,146.0944,,-0.62%,,-3.04%
1/24/2018 0:00,119.94,121.95,118.25,119.67,77.10944,153.9209,,0.83%,,-0.37%
1/25/2018 0:00,121,126.24,120.33,124.9,81.86049,188.5526,,4.37%,,0.55%
1/26/2018 0:00,126.36,130.47,124,129.07,84.60429,195.7411,,3.34%,,-0.72%
1/29/2018 0:00,129.7,129.97,125.22,127.3,79.1328,146.6859,,-1.37%,,-2.98%
1/30/2018 0:00,121.5,125.83,119.09,124.21,70.55439,72.20291,,-2.43%,,-6.45%
1/31/2018 0:00,126.42,128.59,125.58,127.92,74.17433,110.2273,,2.99%,,1.10%
2/1/2018 0:00,127.17,131.16,125.7,126.28,70.07334,97.33687,,-1.28%,,-1.74%
2/2/2018 0:00,125.6,128.68,123.8,125.12,67.2415,62.6738,,-0.92%,,-1.96%
2/5/2018 0:00,120.03,127.29,118.3,118.3,53.54153,-7.854452,,-5.45%,,-5.45%
2/6/2018 0:00,113.5,122.7,112.06,122.14,58.64997,-53.13048,,3.25%,,-5.27%
2/7/2018 0:00,122.32,127.7,121.41,123.34,60.12553,25.31554,,0.98%,,-0.60%
2/8/2018 0:00,124.55,127.07,118.5,118.51,52.07125,-40.35738,,-3.92%,,-3.92%
2/9/2018 0:00,120.81,123.93,114.16,119.55,53.51519,-90.42515,,0.88%,,-3.67%
2/12/2018 0:00,123.44,128.95,122.17,127.94,63.15812,58.77262,,7.02%,,2.19%
2/13/2018 0:00,127.75,130.42,125.13,126.06,60.14723,68.7022,,-1.47%,,-2.20%
2/14/2018 0:00,125.02,138.16,125.02,137.56,69.67165,175.0799,,9.12%,,-0.83%
2/15/2018 0:00,135,140.75,130.3,137.95,69.93407,189.0032,,0.28%,,-5.28%
2/16/2018 0:00,135.58,138.66,134.11,137.53,69.23925,157.8661,,-0.30%,,-2.78%
2/20/2018 0:00,136.99,146.12,136.62,142.78,72.86806,175.0295,,3.82%,,-0.66%
2/21/2018 0:00,136.92,137.34,132.77,132.9,58.808,68.38036,,-6.92%,,-7.01%
2/22/2018 0:00,133.96,136.53,133.2,134.18,59.88785,61.15036,,0.96%,,0.23%
2/23/2018 0:00,135.24,137,133.1,137,62.23665,62.02736,,2.10%,,-0.80%
2/26/2018 0:00,137.1,138.32,135.14,136.27,61.23702,61.95798,,-0.53%,,-1.36%
2/27/2018 0:00,136.71,139.44,135.59,137.66,62.47301,65.4743,,1.02%,,-0.50%
2/28/2018 0:00,139.5,140.5,137.93,138.21,62.97607,74.85223,,0.40%,,0.20%
3/1/2018 0:00,137.24,139.15,133.32,136.85,60.8055,39.27008,,-0.98%,,-3.54%
3/2/2018 0:00,135,137.5,134.47,136.75,60.63998,25.14551,,-0.07%,,-1.74%
3/5/2018 0:00,135.17,139.85,134,139.29,63.36736,55.6725,,1.86%,,-2.01%
3/6/2018 0:00,140.11,143.37,139.72,141.51,65.61034,169.1418,,1.59%,,0.31%
3/7/2018 0:00,139.95,144.44,139,143.68,67.69266,156.1736,,1.53%,,-1.77%
3/8/2018 0:00,144.62,148.02,144.62,147.41,70.94891,199.5621,,2.60%,,0.65%
3/9/2018 0:00,149.16,150.47,147.62,149.16,72.35664,181.7673,,1.19%,,0.14%
3/12/2018 0:00,149.73,150.15,147.38,148.15,70.2411,139.3459,,-0.68%,,-1.19%
3/13/2018 0:00,148.53,148.75,144.51,145.32,64.54655,84.65283,,-1.91%,,-2.46%
3/14/2018 0:00,145.61,148.12,143.88,146.25,65.53539,71.16915,,0.64%,,-0.99%
3/15/2018 0:00,147.7,149,146.2,147.41,66.77998,80.18768,,0.79%,,-0.03%
3/16/2018 0:00,146.98,148.14,145.36,147.22,66.35728,60.6968,,-0.13%,,-1.39%
3/19/2018 0:00,145.5,148.19,142.93,145.62,62.75501,33.50811,,-1.09%,,-2.91%
3/20/2018 0:00,145.5,154.82,145,153.11,70.75782,110.0031,,5.14%,,-0.43%
3/21/2018 0:00,153.54,154,148.26,149.4,63.48169,100.2135,,-2.42%,,-3.17%
3/22/2018 0:00,147.21,152.8,145.33,145.45,56.7863,41.29966,,-2.64%,,-2.72%
3/23/2018 0:00,145.74,148.47,141,141.66,51.2058,-94.80048,,-2.61%,,-3.06%
3/26/2018 0:00,145.6,147.82,130.5,136.72,44.99852,-229.8134,,-3.49%,,-7.88%
3/27/2018 0:00,136.25,139.13,127.21,128.82,37.22673,-278.3014,,-5.78%,,-6.96%
3/28/2018 0:00,127,127.75,120.68,121.6,31.81804,-247.5009,,-5.60%,,-6.32%
3/29/2018 0:00,120.92,126.28,118.57,124.59,35.96717,-170.2781,,2.46%,,-2.49%
4/2/2018 0:00,124.67,127.5,120.3,122.08,34.09165,-128.5199,,-2.01%,,-3.44%
4/3/2018 0:00,124,125.48,117.8,119.37,32.14279,-116.7751,,-2.22%,,-3.51%
4/4/2018 0:00,113.88,121.35,112.5,120.67,34.08925,-108.8568,,1.09%,,-5.76%
4/5/2018 0:00,123.75,125.52,119.6,120.14,33.66527,-74.94946,,-0.44%,,-0.89%
4/6/2018 0:00,118.52,120.79,115.96,117.42,31.49995,-84.1994,,-2.26%,,-3.48%
4/9/2018 0:00,119.15,123.71,118.1,118.95,34.06879,-63.47651,,1.30%,,0.58%
4/10/2018 0:00,122.45,123.49,118.95,122.87,40.25118,-47.86174,,3.30%,,0.00%
4/11/2018 0:00,122,124.2,119.36,119.53,37.06227,-47.85808,,-2.72%,,-2.86%
4/12/2018 0:00,120.57,121.25,119.13,120.75,38.96442,-50.91315,,1.02%,,-0.33%
4/13/2018 0:00,122,122.19,116.24,117.51,35.86439,-78.76813,,-2.68%,,-3.73%
4/16/2018 0:00,117.78,118,113.68,116.94,35.33181,-140.4384,,-0.49%,,-3.26%
4/17/2018 0:00,118,127.32,117.91,125.96,48.39198,107.7436,,7.71%,,0.83%
4/18/2018 0:00,126.14,128.31,123.26,127.56,50.30902,176.7668,,1.27%,,-2.14%
4/19/2018 0:00,126.12,129.58,125.58,126.67,49.21391,169.1761,,-0.70%,,-1.55%
4/20/2018 0:00,126.5,127.6,125.29,126.79,49.37393,127.9787,,0.09%,,-1.09%
4/23/2018 0:00,127.15,127.22,121.15,122.91,44.49257,49.66657,,-3.06%,,-4.45%
4/24/2018 0:00,123.58,126.85,121.51,123.14,44.8407,42.53218,,0.19%,,-1.14%
4/25/2018 0:00,123,123.33,118.55,120.02,41.0771,-33.89461,,-2.53%,,-3.73%
4/26/2018 0:00,122.71,125.52,121.98,124.15,47.3738,36.58101,,3.44%,,1.63%
4/27/2018 0:00,126.57,127.1,124.2,126.62,50.76267,78.48836,,1.99%,,0.04%
4/30/2018 0:00,128.05,134.43,127.01,133.63,58.85971,180.8331,,5.54%,,0.31%
5/1/2018 0:00,125.51,128.1,118.81,127.68,51.16814,24.1343,,-4.45%,,-11.09%
5/2/2018 0:00,126.85,129.74,122.48,124.81,47.91559,35.9871,,-2.25%,,-4.07%
5/3/2018 0:00,124.81,135.53,124.25,135.17,58.23583,158.4028,,8.30%,,-0.45%
5/4/2018 0:00,134.9,138.26,132.63,136.13,59.04564,211.5668,,0.71%,,-1.88%
5/7/2018 0:00,137.79,139.05,136.59,138.56,61.10165,182.7332,,1.79%,,0.34%
5/8/2018 0:00,139.22,146.05,138.61,143.31,64.81956,180.0772,,3.43%,,0.04%
5/9/2018 0:00,144,146.48,143,146.1,66.82528,157.8927,,1.95%,,-0.22%
5/10/2018 0:00,146.1,146.97,145.13,146.23,66.91991,134.0125,,0.09%,,-0.66%
5/11/2018 0:00,146.55,146.67,142.71,144.47,64.24775,99.55141,,-1.20%,,-2.41%
5/14/2018 0:00,145.3,148.29,142.23,142.64,61.498,83.28776,,-1.27%,,-1.55%
5/15/2018 0:00,141.21,142.75,137.63,142.5,61.28191,46.81881,,-0.10%,,-3.51%
5/16/2018 0:00,143.29,144.63,142.11,142.28,60.91966,57.17622,,-0.15%,,-0.27%
5/17/2018 0:00,142.22,146.62,141.9,146.1,64.80944,67.95257,,2.68%,,-0.27%
5/18/2018 0:00,145.32,147.7,144.73,147.06,65.73251,76.74747,,0.66%,,-0.94%
5/21/2018 0:00,148.73,150.97,143.42,144.51,61.14449,72.02509,,-1.73%,,-2.48%
5/22/2018 0:00,141,142.99,137.31,138.75,52.26964,-46.28215,,-3.99%,,-4.98%
5/23/2018 0:00,138,141.25,137.5,140.83,54.81986,-68.68684,,1.50%,,-0.90%
5/24/2018 0:00,141,143.68,140.25,143.05,57.43395,-25.38636,,1.58%,,-0.41%
5/25/2018 0:00,143.53,144.66,142.68,143.64,58.12735,2.8481,,0.41%,,-0.26%
5/29/2018 0:00,143.32,145.32,141.8,143.29,57.52864,-6.288991,,-0.24%,,-1.28%
5/30/2018 0:00,144,146.8,143.69,145.84,60.70427,65.99826,,1.78%,,0.28%
5/31/2018 0:00,146.5,149.98,145.52,148.09,63.31101,141.0167,,1.54%,,-0.22%
6/1/2018 0:00,149.5,151.66,147.54,150.8,66.21778,168.0627,,1.83%,,-0.37%
6/4/2018 0:00,151.93,157.86,151.75,156.91,71.66795,225.2823,,4.05%,,0.63%
6/5/2018 0:00,157.31,162,156.84,161.06,74.65846,225.5258,,2.64%,,-0.04%
6/6/2018 0:00,162.15,165.77,160.26,165.36,77.3287,195.8082,,2.67%,,-0.50%
6/7/2018 0:00,166,166.01,158.88,161.26,69.7788,131.6015,,-2.48%,,-3.92%
6/8/2018 0:00,159.55,163.83,158.5,162.81,70.93416,103.1802,,0.96%,,-1.71%
6/11/2018 0:00,163.2,164.9,160.03,160.24,66.40137,85.33744,,-1.58%,,-1.71%
6/12/2018 0:00,160.33,165.89,160.13,165.24,70.36858,87.10432,,3.12%,,-0.07%
6/13/2018 0:00,165.4,171.13,163.81,165.09,70.10114,97.89973,,-0.09%,,-0.87%
6/14/2018 0:00,166.17,168.86,166,167.94,72.25833,94.53685,,1.73%,,0.55%
6/15/2018 0:00,166.5,169.36,164.65,168.44,72.63141,85.9737,,0.30%,,-1.96%
6/18/2018 0:00,167,172.92,166.8,172.84,75.72515,114.8826,,2.61%,,-0.97%
6/19/2018 0:00,169.65,172.51,167.07,170.61,71.32459,104.4179,,-1.29%,,-3.34%
6/20/2018 0:00,174,175.11,172.21,172.25,72.5863,133.3679,,0.96%,,0.94%
6/21/2018 0:00,173.48,173.84,164.35,164.54,59.36245,41.4076,,-4.48%,,-4.59%
6/22/2018 0:00,166.52,166.68,160.07,162.53,56.47392,-51.01836,,-1.22%,,-2.72%
6/25/2018 0:00,160,160,151.05,153.21,45.43431,-187.4429,,-5.73%,,-7.06%
6/26/2018 0:00,156.56,158.73,154.11,155.01,47.56616,-135.9452,,1.17%,,0.59%
6/27/2018 0:00,155.43,156.2,144.28,144.7,38.32901,-193.8133,,-6.65%,,-6.92%
6/28/2018 0:00,143,147.83,140.4,146.55,40.55961,-174.7627,,1.28%,,-2.97%
6/29/2018 0:00,147.65,149.95,145.35,145.89,40.0037,-119.3619,,-0.45%,,-0.82%
7/2/2018 0:00,142.71,149.57,141.37,149.42,44.39349,-98.61842,,2.42%,,-3.10%
7/3/2018 0:00,150,151.95,147.25,150.5,45.70247,-65.12563,,0.72%,,-1.45%
7/5/2018 0:00,152.89,153.77,149.96,152.68,48.34566,-42.71708,,1.45%,,-0.36%
7/6/2018 0:00,152.91,157.34,152,156.81,53.01239,-13.94787,,2.71%,,-0.45%
7/9/2018 0:00,158.79,160.4,154.24,158.45,54.76024,13.73414,,1.05%,,-1.64%
7/10/2018 0:00,158.62,160.37,157.81,158.98,55.33843,38.49146,,0.33%,,-0.40%
7/11/2018 0:00,156.96,161.97,156.27,160.98,57.54356,65.59159,,1.26%,,-1.70%
7/12/2018 0:00,162.58,168.2,162.11,167.5,63.81578,146.7866,,4.05%,,0.70%
7/13/2018 0:00,167.72,168.11,163.74,166.18,61.82442,140.3184,,-0.79%,,-2.24%
7/16/2018 0:00,166.13,169.4,164.8,165.35,60.54509,120.2904,,-0.50%,,-0.83%
7/17/2018 0:00,161.05,170.3,161.05,169,64.06657,102.004,,2.21%,,-2.60%
7/18/2018 0:00,169.5,171.48,167.03,170.48,65.41451,111.9811,,0.88%,,-1.17%
7/19/2018 0:00,170,172.1,168.18,171.75,66.57328,106.9654,,0.74%,,-1.35%
7/20/2018 0:00,172,175.29,171.3,171.75,67.73737,109.1135,,0.00%,,-0.26%
7/23/2018 0:00,171.65,174.13,169,173.26,69.11459,92.64882,,0.88%,,-1.60%
7/24/2018 0:00,175,176.6,166.63,168.34,60.11074,69.95334,,-2.84%,,-3.83%
7/25/2018 0:00,168.3,174.03,165.57,173.78,65.46754,74.28531,,3.23%,,-1.65%
7/26/2018 0:00,169.33,172.24,168.65,170.29,59.90909,55.77066,,-2.01%,,-2.95%
7/27/2018 0:00,172.35,172.35,159.26,160.15,47.33433,-68.07214,,-5.95%,,-6.48%
7/30/2018 0:00,159.8,160.43,147.33,148.08,37.29852,-249.1061,,-7.54%,,-8.00%
7/31/2018 0:00,138.9,143.77,133.26,138.21,31.43015,-299.5261,,-6.67%,,-10.01%
8/1/2018 0:00,138.21,140.22,134.89,136.36,30.46269,-195.3173,,-1.34%,,-2.40%
8/2/2018 0:00,134.25,144.21,132.63,143.92,38.75864,-126.696,,5.54%,,-2.74%
8/3/2018 0:00,144.93,145.47,140.83,141.87,37.45379,-90.05671,,-1.42%,,-2.15%
8/6/2018 0:00,141.91,142.41,138,142.04,37.64127,-82.9221,,0.12%,,-2.73%
8/7/2018 0:00,143.98,146.64,141.17,141.68,37.3857,-61.47746,,-0.25%,,-0.61%
8/8/2018 0:00,142.65,144.14,140.85,142.7,38.65657,-56.22601,,0.72%,,-0.59%
8/9/2018 0:00,142.21,147.14,142.2,146.44,43.2082,-36.96712,,2.62%,,-0.35%
8/10/2018 0:00,145.09,151.18,144.15,149.22,46.39228,-14.05331,,1.90%,,-1.56%
8/13/2018 0:00,149.35,151.01,142.41,142.87,40.76954,-24.09311,,-4.26%,,-4.56%
8/14/2018 0:00,144.2,145.74,141.55,144.38,42.55259,-27.79542,,1.06%,,-0.92%
8/15/2018 0:00,142.65,144.56,137.11,138.92,38.08779,-63.8862,,-3.78%,,-5.04%
8/16/2018 0:00,141.87,142.11,138.85,139.16,38.39378,-63.52395,,0.17%,,-0.05%
8/17/2018 0:00,138.92,140.24,135.79,137.19,36.78663,-104.6908,,-1.42%,,-2.42%
8/20/2018 0:00,138,138.33,132.85,135.97,35.78754,-140.9906,,-0.89%,,-3.16%
8/21/2018 0:00,135.12,137.78,133.26,133.44,33.741,-149.3235,,-1.86%,,-1.99%
8/22/2018 0:00,132.34,138.5,132.34,137.63,39.87343,-102.8192,,3.14%,,-0.82%
8/23/2018 0:00,138,140.91,137.05,137.49,39.74108,-48.52999,,-0.10%,,-0.42%
8/24/2018 0:00,139.6,141.5,138.47,140.58,44.14762,-13.19004,,2.25%,,0.71%
8/27/2018 0:00,141.9,144.75,139,144.04,48.67367,36.20824,,2.46%,,-1.12%
8/28/2018 0:00,145.46,146.05,142.75,145,49.88708,70.21124,,0.67%,,-0.90%
8/29/2018 0:00,145.39,146.5,143.77,145.15,50.08564,80.99312,,0.10%,,-0.85%
8/30/2018 0:00,144.89,146.48,143.28,144.81,49.60585,86.94363,,-0.23%,,-1.29%
8/31/2018 0:00,143.89,146.26,143.39,145.67,50.88741,93.43575,,0.59%,,-0.98%
9/4/2018 0:00,146,146.93,143.61,146.34,51.91339,97.42165,,0.46%,,-1.41%
9/5/2018 0:00,143.65,144.13,136.5,139.97,42.76601,-12.2296,,-4.35%,,-6.72%
9/6/2018 0:00,139.96,140.46,132.35,134.13,36.42852,-90.51483,,-4.17%,,-5.44%
9/7/2018 0:00,131.66,141.18,130.6,140.64,46.02973,-55.77624,,4.85%,,-2.63%
9/10/2018 0:00,141.04,142.55,139.05,142.13,47.96675,7.599802,,1.06%,,-1.13%
9/11/2018 0:00,141.29,148.03,140.39,147.76,54.59755,80.12132,,3.96%,,-1.22%
9/12/2018 0:00,147.76,153.77,146.22,153.13,59.85278,169.7557,,3.63%,,-1.04%
9/13/2018 0:00,154,158.5,153.95,155.5,61.94625,214.0568,,1.55%,,0.54%
9/14/2018 0:00,156.99,158.9,153.56,154.77,60.89299,173.8828,,-0.47%,,-1.25%
9/17/2018 0:00,156.68,159.43,153.45,153.63,59.20016,129.363,,-0.74%,,-0.85%
9/18/2018 0:00,154.5,164.2,154.5,162.28,66.75278,143.175,,5.63%,,0.57%
9/19/2018 0:00,164,166.5,161.52,164.6,68.44023,141.1516,,1.43%,,-0.47%
9/20/2018 0:00,164.89,168.95,164.5,167.17,70.24203,132.1493,,1.56%,,-0.06%
9/21/2018 0:00,166.7,168.16,160.61,161.52,61.8781,89.99028,,-3.38%,,-3.92%
9/24/2018 0:00,159.43,165.33,157.4,162.18,62.44071,66.90861,,0.41%,,-2.55%
9/25/2018 0:00,163.63,165.14,159,161.11,60.87223,60.85639,,-0.66%,,-1.96%
9/26/2018 0:00,162.52,164.8,159.88,162,61.73328,59.97281,,0.55%,,-0.76%
9/27/2018 0:00,162.76,164.71,162.02,164.45,64.07683,66.19132,,1.51%,,0.01%
9/28/2018 0:00,164.19,167.79,163.06,164.46,64.0865,77.3818,,0.01%,,-0.85%
10/1/2018 0:00,165.53,166.86,162.51,163.42,62.21131,62.28064,,-0.63%,,-1.19%
10/2/2018 0:00,162.46,164,155.97,156.6,51.55753,-57.67173,,-4.17%,,-4.56%
10/3/2018 0:00,157.39,162.36,157.19,160.2,55.85505,-45.50466,,2.30%,,0.38%
10/4/2018 0:00,159.48,160.2,147.8,148.91,42.97804,-210.1826,,-7.05%,,-7.74%
10/5/2018 0:00,149.09,151.41,141.07,145.6,40.06194,-260.719,,-2.22%,,-5.26%
10/8/2018 0:00,142.92,145.53,138.09,140.49,36.00081,-215.4393,,-3.51%,,-5.16%
10/9/2018 0:00,140.16,143.18,138.76,140.22,35.79434,-157.1918,,-0.19%,,-1.23%
10/10/2018 0:00,139.64,139.95,128.01,130.1,29.06571,-166.5426,,-7.22%,,-8.71%
10/11/2018 0:00,127.51,133.98,126.68,128.39,28.10435,-145.3425,,-1.31%,,-2.63%
10/12/2018 0:00,135.01,136.97,130.25,135.2,37.03602,-96.81315,,5.30%,,1.45%
10/15/2018 0:00,135.1,137,132.09,135.7,37.64849,-78.69156,,0.37%,,-2.30%
10/16/2018 0:00,138.68,146.07,138.41,145.83,48.56483,-25.15667,,7.46%,,2.00%
10/17/2018 0:00,146,146.5,133.87,137.37,41.95803,-43.74883,,-5.80%,,-8.20%
10/18/2018 0:00,136.62,140.14,133.56,134.78,40.15691,-57.63412,,-1.89%,,-2.77%
10/19/2018 0:00,135.59,137.38,126.2,127.07,35.2992,-97.59518,,-5.72%,,-6.37%
10/22/2018 0:00,128.18,135.59,125.64,134.37,42.40349,-75.74187,,5.74%,,-1.13%
10/23/2018 0:00,128.34,133.2,126.71,132.16,40.93798,-80.68959,,-1.64%,,-5.70%
10/24/2018 0:00,133.1,134.6,122.05,122.27,35.0928,-127.5755,,-7.48%,,-7.65%
10/25/2018 0:00,131.89,138.34,128.5,136.99,47.18091,-1.843097,,12.04%,,5.10%
10/26/2018 0:00,129,138.34,128.45,132.95,44.7193,-17.14734,,-2.95%,,-6.23%
10/29/2018 0:00,136.83,137.68,125.08,128.5,42.11296,-62.96893,,-3.35%,,-5.92%
10/30/2018 0:00,125,132.36,122.8,129.14,42.63083,-95.76975,,0.50%,,-4.44%
10/31/2018 0:00,132.77,138.65,130.53,138.15,49.48267,44.57215,,6.98%,,1.08%
11/1/2018 0:00,138.77,145.09,135.67,144.35,53.59029,129.8233,,4.49%,,-1.80%
11/2/2018 0:00,144.35,148.92,142.26,145.55,54.36375,152.0876,,0.83%,,-1.45%
11/5/2018 0:00,143.95,145,139.76,141.03,50.92131,104.8223,,-3.11%,,-3.98%
11/6/2018 0:00,141.78,143.81,139,140.93,50.84459,89.6531,,-0.07%,,-1.44%
11/7/2018 0:00,144.1,149.5,143.14,148.19,56.02406,133.8963,,5.15%,,1.57%
11/8/2018 0:00,148.21,150.84,146.39,149.54,56.9328,125.2343,,0.91%,,-1.21%
11/9/2018 0:00,147.29,147.29,138.6,140.9,49.83497,47.66874,,-5.78%,,-7.32%
11/12/2018 0:00,139.29,139.31,130.9,135.54,46.0033,-30.47302,,-3.80%,,-7.10%
11/13/2018 0:00,136.5,140.54,134.17,138.78,48.57711,-12.90553,,2.39%,,-1.01%
11/14/2018 0:00,140.94,144.5,139.61,142.76,51.62732,37.83529,,2.87%,,0.60%
11/15/2018 0:00,142.52,151.27,141.5,150.09,56.71917,96.77792,,5.13%,,-0.88%
11/16/2018 0:00,146.92,151.51,145.13,151.02,57.33284,113.4821,,0.62%,,-3.30%
11/19/2018 0:00,150,151.21,133.59,133.75,44.66737,-56.2555,,-11.44%,,-11.54%
11/20/2018 0:00,124.58,136.42,122,134.35,45.12096,-193.8766,,0.45%,,-8.79%
11/21/2018 0:00,138.97,140.12,132.46,132.61,43.99462,-101.7101,,-1.30%,,-1.41%
11/23/2018 0:00,131.04,136.2,129.65,134.81,45.83566,-103.0784,,1.66%,,-2.23%
11/26/2018 0:00,137.88,144.52,137.48,144.44,53.10286,17.2574,,7.14%,,1.98%
11/27/2018 0:00,142,146.9,141.79,144.47,53.12396,43.70397,,0.02%,,-1.83%
11/28/2018 0:00,146.45,150.02,145.01,149.96,56.94189,93.81138,,3.80%,,0.37%
11/29/2018 0:00,150,151.46,146.25,149.04,56.11704,101.585,,-0.61%,,-2.47%
11/30/2018 0:00,149.03,152.89,147.8,152.66,58.65492,110.4425,,2.43%,,-0.83%
12/3/2018 0:00,156.18,159.1,154,156.39,61.14819,144.3576,,2.44%,,0.88%
12/4/2018 0:00,155,159.1,149.35,150.2,55.19917,90.65643,,-3.96%,,-4.50%
12/6/2018 0:00,143.09,157.27,142.3,156.9,59.76231,71.83906,,4.46%,,-5.26%
12/7/2018 0:00,156.98,159.9,145.2,146.88,51.34034,52.71371,,-6.39%,,-7.46%
12/10/2018 0:00,146.1,151.59,143.91,151.5,54.52264,36.35999,,3.15%,,-2.02%
12/11/2018 0:00,155.69,158.83,153.11,154.67,56.61903,90.59325,,2.09%,,1.06%
12/12/2018 0:00,157.99,163.77,157.44,160.09,60.01309,139.1441,,3.50%,,1.79%
12/13/2018 0:00,161,164.13,159.49,161.06,60.60711,140.3132,,0.61%,,-0.37%
12/14/2018 0:00,147.97,149.02,140,140.17,45.07673,-118.8565,,-12.97%,,-13.08%
12/17/2018 0:00,139.92,139.92,128.79,129.66,39.58135,-225.7734,,-7.50%,,-8.12%
12/18/2018 0:00,133.63,136.2,131.61,134.39,42.95211,-172.3985,,3.65%,,1.50%
12/19/2018 0:00,135,140.53,131.69,133.19,42.30724,-127.1232,,-0.89%,,-2.01%
12/20/2018 0:00,131.21,134.96,121.5,127.71,39.39818,-141.4685,,-4.11%,,-8.78%
12/21/2018 0:00,128.62,128.63,121.85,122.41,36.76516,-131.1634,,-4.15%,,-4.59%
12/24/2018 0:00,118.95,122.87,117.64,119.1,35.1837,-129.491,,-2.70%,,-3.90%
12/26/2018 0:00,121.38,130.55,121.38,130.21,43.90559,-74.42298,,9.33%,,1.91%
12/27/2018 0:00,126.44,132.6,125.04,132.4,45.46344,-52.41456,,1.68%,,-3.97%
12/28/2018 0:00,134.12,136.13,129.42,133.46,46.24167,-30.52248,,0.80%,,-2.25%
12/31/2018 0:00,136.02,140.53,135.07,138.45,49.86831,4.186141,,3.74%,,1.21%
1/2/2019 0:00,134,139.14,131.17,137.6,49.25871,-0.04320254,,-0.61%,,-5.26%
1/3/2019 0:00,134.75,136.26,129.48,129.79,43.94337,-22.05983,,-5.68%,,-5.90%
1/4/2019 0:00,134.51,139.5,133.16,138.06,50.08543,69.97252,,6.37%,,2.60%
1/7/2019 0:00,139.65,145.85,138.74,144.39,54.22014,160.1592,,4.58%,,0.49%
1/8/2019 0:00,147.6,149.82,144.01,145.44,54.88769,165.1789,,0.73%,,-0.26%
1/9/2019 0:00,146.5,150.33,144.4,148.62,56.93577,143.6524,,2.19%,,-0.72%
1/10/2019 0:00,146.31,149.97,144.58,148.27,56.63103,116.1174,,-0.24%,,-2.72%
1/11/2019 0:00,147.31,150,146.71,149.43,57.44401,107.5844,,0.78%,,-1.05%
1/14/2019 0:00,147.27,149.93,144.69,149.1,57.116,86.70592,,-0.22%,,-3.17%
1/15/2019 0:00,149.59,155.54,149.59,154.3,60.90443,115.8709,,3.49%,,0.33%
1/16/2019 0:00,155.7,158.59,153.3,158.25,63.53934,130.9869,,2.56%,,-0.65%
