Timestamp,Open,High,Low,Close,Rsi,Cci
3/23/2020 10:00:00 AM,1827.75,1865.00,1812.00,1860.80,51.24,-122.47
3/23/2020 11:00:00 AM,1860.80,1876.50,1847.06,1860.74,51.23,-69.13
3/23/2020 12:00:00 PM,1860.74,1870.00,1820.11,1843.19,47.89,-92.29
3/23/2020 1:00:00 PM,1843.19,1908.99,1835.67,1897.02,57.12,-7.20
3/23/2020 2:00:00 PM,1897.02,1919.40,1885.00,1901.60,57.80,49.69
3/23/2020 3:00:00 PM,1901.60,1906.00,1872.46,1888.85,55.16,28.67
3/23/2020 4:00:00 PM,1888.85,1914.24,1876.00,1902.83,57.46,54.30
3/24/2020 10:00:00 AM,1950.00,1955.00,1927.01,1933.12,62.00,162.71
3/24/2020 11:00:00 AM,1933.12,1950.95,1904.00,1917.71,58.57,120.32
3/24/2020 12:00:00 PM,1917.71,1929.14,1907.44,1927.00,60.01,101.09
3/24/2020 1:00:00 PM,1927.00,1938.88,1921.17,1921.56,58.72,96.79
3/24/2020 2:00:00 PM,1921.56,1928.52,1908.81,1912.30,56.51,62.86
3/24/2020 3:00:00 PM,1912.30,1926.00,1900.34,1925.52,58.89,56.50
3/24/2020 4:00:00 PM,1925.52,1941.02,1919.49,1940.10,61.40,86.73
3/25/2020 10:00:00 AM,1920.69,1950.26,1907.32,1912.65,54.64,52.98
3/25/2020 11:00:00 AM,1912.65,1918.74,1894.00,1908.02,53.57,-6.47
3/25/2020 12:00:00 PM,1908.02,1912.05,1891.00,1902.85,52.33,-51.39
3/25/2020 1:00:00 PM,1902.85,1913.83,1898.82,1908.22,53.53,-43.35
3/25/2020 2:00:00 PM,1908.22,1930.95,1907.16,1927.39,57.62,33.87
3/25/2020 3:00:00 PM,1927.39,1928.48,1911.00,1923.64,56.57,19.16
3/25/2020 4:00:00 PM,1923.64,1927.00,1885.78,1885.84,47.23,-142.74
3/26/2020 10:00:00 AM,1900.21,1918.58,1889.29,1905.43,51.68,-89.73
3/26/2020 11:00:00 AM,1905.43,1920.43,1902.22,1909.10,52.49,-35.33
3/26/2020 12:00:00 PM,1909.10,1921.36,1908.15,1917.86,54.45,8.01
3/26/2020 1:00:00 PM,1917.90,1923.88,1912.01,1921.71,55.33,42.35
3/26/2020 2:00:00 PM,1921.71,1925.21,1905.09,1910.52,52.20,-3.46
3/26/2020 3:00:00 PM,1910.52,1929.15,1909.49,1928.07,56.37,65.03
3/26/2020 4:00:00 PM,1928.07,1956.49,1921.77,1955.49,61.95,221.39
3/27/2020 10:00:00 AM,1932.83,1939.79,1908.02,1917.87,52.10,52.17
3/27/2020 11:00:00 AM,1917.87,1924.49,1911.00,1912.75,50.91,3.14
3/27/2020 12:00:00 PM,1912.75,1924.00,1909.37,1910.40,50.35,-18.30
3/27/2020 1:00:00 PM,1910.40,1917.94,1905.86,1912.67,50.91,-45.86
3/27/2020 2:00:00 PM,1912.67,1924.30,1910.10,1917.70,52.22,7.20
3/27/2020 3:00:00 PM,1917.70,1924.38,1914.85,1924.29,53.95,45.30
3/27/2020 4:00:00 PM,1924.29,1937.67,1899.95,1900.10,47.20,-56.92
3/30/2020 10:00:00 AM,1922.83,1933.19,1912.34,1933.19,55.41,81.84
3/30/2020 11:00:00 AM,1933.19,1973.63,1933.11,1963.26,61.31,265.46
3/30/2020 12:00:00 PM,1963.26,1968.74,1961.25,1964.50,61.53,204.94
3/30/2020 1:00:00 PM,1964.50,1966.64,1957.01,1962.70,60.98,137.75
3/30/2020 2:00:00 PM,1962.70,1962.90,1954.00,1960.00,60.10,99.02
3/30/2020 3:00:00 PM,1960.00,1961.58,1948.08,1951.56,57.32,67.05
3/30/2020 4:00:00 PM,1951.56,1967.98,1945.04,1963.95,60.23,77.03
3/31/2020 10:00:00 AM,1963.00,1969.95,1952.10,1962.51,59.72,72.87
3/31/2020 11:00:00 AM,1962.51,1993.02,1962.16,1976.31,62.95,105.59
