Date,Open,High,Low,Close,Volume ,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
6/28/2019 12:10:00 PM,292.64,292.82,292.63,292.68,318600,494430,67.62969,119.5673
6/28/2019 12:15:00 PM,292.68,292.72,292.65,292.67,306600,496648,66.93504,97.81808
6/28/2019 12:20:00 PM,292.67,292.8,292.65,292.79,315100,498652,70.81667,120.4723
6/28/2019 12:25:00 PM,292.79,293.15,292.78,293.13,1363200,521034,78.51346,205.0528
6/28/2019 12:30:00 PM,293.13,293.19,293.05,293.06,383300,523066,74.17547,188.7537
6/28/2019 12:35:00 PM,293.06,293.07,292.97,293.04,530200,529438,72.93633,132.678
6/28/2019 12:40:00 PM,293.04,293.07,292.95,293.02,418300,529446,71.64542,104.7022
6/28/2019 12:45:00 PM,293.02,293.07,292.98,293.06,261900,529888,72.68587,92.45621
6/28/2019 12:50:00 PM,293.06,293.14,293.02,293.11,401500,534722,73.97102,91.04452
6/28/2019 12:55:00 PM,293.12,293.13,292.96,292.99,369100,536112,65.94942,60.8027
6/28/2019 1:00:00 PM,292.99,293.03,292.97,293,732600,542662,66.27794,44.61444
6/28/2019 1:05:00 PM,293,293,292.86,292.91,344300,544638,60.6155,9.419861
6/28/2019 1:10:00 PM,292.91,292.92,292.85,292.86,248500,545028,57.66668,-21.7959
6/28/2019 1:15:00 PM,292.85,292.93,292.81,292.81,313500,542756,54.79758,-48.33757
6/28/2019 1:20:00 PM,292.8,292.84,292.73,292.78,268800,534536,53.09048,-93.6179
6/28/2019 1:25:00 PM,292.79,292.8,292.68,292.71,200600,529772,49.23566,-132.229
6/28/2019 1:30:00 PM,292.71,292.78,292.7,292.76,174600,523900,51.92166,-121.9403
6/28/2019 1:35:00 PM,292.76,292.8,292.73,292.78,129500,500580,52.99211,-90.63751
6/28/2019 1:40:00 PM,292.78,292.87,292.76,292.83,211800,440468,55.65134,-52.52589
6/28/2019 1:45:00 PM,292.84,292.85,292.69,292.7,233900,410254,48.04144,-84.83839
6/28/2019 1:50:00 PM,292.7,292.7,292.63,292.69,283500,397844,47.50271,-113.2438
6/28/2019 1:55:00 PM,292.7,292.7,292.55,292.57,173000,391942,41.4954,-135.1932
6/28/2019 2:00:00 PM,292.57,292.61,292.46,292.56,433200,384176,41.02928,-157.0034
6/28/2019 2:05:00 PM,292.56,292.69,292.5,292.66,412700,379684,47.38804,-100.653
6/28/2019 2:10:00 PM,292.66,292.68,292.6,292.64,209400,374850,46.31309,-73.96724
6/28/2019 2:15:00 PM,292.64,292.66,292.52,292.53,244600,370504,40.82417,-106.4209
6/28/2019 2:20:00 PM,292.53,292.58,292.48,292.53,435200,371520,36.20337,-116.1467
6/28/2019 2:25:00 PM,292.53,292.64,292.49,292.5,480300,369630,35.03876,-93.62284
6/28/2019 2:30:00 PM,292.5,292.6,292.5,292.58,477200,368178,40.53183,-71.22297
6/28/2019 2:35:00 PM,292.58,292.69,292.58,292.61,551900,365976,42.49578,-13.48869
6/28/2019 2:40:00 PM,292.62,292.65,292.54,292.58,299200,357610,41.0363,-38.91291
6/28/2019 2:45:00 PM,292.58,292.69,292.56,292.56,515900,360156,40.04929,-18.15499
6/28/2019 2:50:00 PM,292.56,292.62,292.48,292.51,526900,362086,37.6129,-90.97007
6/28/2019 2:55:00 PM,292.51,292.55,292.29,292.37,641200,369730,31.78095,-238.4987
6/28/2019 3:00:00 PM,292.37,292.42,292.28,292.33,493700,371406,30.33363,-238.8446
6/28/2019 3:05:00 PM,292.33,292.37,292.29,292.34,458800,374396,31.17809,-179.2493
6/28/2019 3:10:00 PM,292.34,292.41,292.3,292.39,538900,377696,35.39244,-112.937
6/28/2019 3:15:00 PM,292.39,292.46,292.3,292.37,767200,386538,34.4823,-85.17924
6/28/2019 3:20:00 PM,292.38,292.4,292.3,292.38,444000,386640,35.37713,-80.3472
6/28/2019 3:25:00 PM,292.38,292.51,292.35,292.39,558700,393160,36.31385,-36.26943
6/28/2019 3:30:00 PM,292.39,292.4,292.27,292.3,593700,398840,31.84317,-85.45266
6/28/2019 3:35:00 PM,292.3,292.56,292.23,292.43,629300,405688,42.79544,-26.89512
6/28/2019 3:40:00 PM,292.44,292.48,292.28,292.45,1079400,418972,44.2803,-23.94939
6/28/2019 3:45:00 PM,292.46,292.59,292.43,292.49,731400,426542,47.22623,68.11787
6/28/2019 3:50:00 PM,292.48,292.56,292.37,292.55,884400,439474,51.38073,75.18983
6/28/2019 3:55:00 PM,292.55,292.83,292.49,292.74,3412100,503924,61.67122,235.0483
6/28/2019 4:00:00 PM,292.74,293.55,292.74,292.99,7681200,652366,70.51432,319.8895
7/1/2019 9:35:00 AM,296.68,296.88,296.54,296.68,3620200,717170,93.68255,431.3642
7/1/2019 9:40:00 AM,296.67,296.88,296.66,296.76,1485600,737086,93.79638,235.2891
7/1/2019 9:45:00 AM,296.77,296.92,296.59,296.68,1247200,756718,92.01092,155.4505
7/1/2019 9:50:00 AM,296.68,296.78,296.13,296.15,1529700,780940,81.01112,105.4307
7/1/2019 9:55:00 AM,296.14,296.24,296.07,296.15,1107900,796966,71.77097,79.34407
7/1/2019 10:00:00 AM,296.15,296.32,296,296.15,1228600,815236,63.91947,66.71122
7/1/2019 10:05:00 AM,296.15,296.5,296.15,296.44,1350500,814982,66.10454,63.34743
7/1/2019 10:10:00 AM,296.44,296.51,296.23,296.27,3141400,870144,63.67017,54.50019
