Timestamp,Open,High,Low,Close,Rsi,Cci,Volume
11/2/2018 3:00:00 PM,60.12,60.92,58.3,58.53,43.81409,22.2176,1489700
11/2/2018 4:00:00 PM,58.46,59.18,57.71,57.71,41.56246,-33.06163,1270100
11/5/2018 10:00:00 AM,58.28,58.76,57.89,58.4,44.1628,-15.62541,1015500
11/5/2018 11:00:00 AM,58.4,58.79,57.6,57.66,42.00408,-31.234,869900
11/5/2018 12:00:00 PM,57.63,58.26,57.45,57.74,42.33226,-42.2983,457000
11/5/2018 1:00:00 PM,57.74,58.33,57.52,58.07,43.74635,-27.18956,433800
11/5/2018 2:00:00 PM,58.07,58.22,57.35,57.5,41.83799,-45.50001,264300
11/5/2018 3:00:00 PM,57.48,57.65,56.16,56.44,38.47651,-102.2436,486100
11/5/2018 4:00:00 PM,56.44,57.89,56.25,57.16,41.89166,-71.76285,668300
11/6/2018 10:00:00 AM,57.15,57.35,55.86,56.01,38.24041,-132.9082,543600
11/6/2018 11:00:00 AM,56.03,56.24,55.06,55.45,36.56895,-162.3806,723700
11/6/2018 12:00:00 PM,55.4,55.66,54.75,55.02,35.29329,-153.786,738700
11/6/2018 1:00:00 PM,54.99,55.21,54.42,54.59,34.01543,-143.9371,352600
11/6/2018 2:00:00 PM,54.62,54.82,54.29,54.59,32.73887,-129.9427,350000
11/6/2018 3:00:00 PM,54.55,55.95,54.55,54.97,35.05833,-83.80632,643000
11/6/2018 4:00:00 PM,55.01,55.44,54.26,54.34,33.02501,-93.58334,700700
11/7/2018 10:00:00 AM,51.39,51.39,50.02,51.26,25.29956,-222.4622,991600
11/7/2018 11:00:00 AM,51.29,51.32,49.86,50.34,23.52902,-191.5385,830300
11/7/2018 12:00:00 PM,50.34,50.68,49.82,49.9,22.71043,-163.6157,432600
11/7/2018 1:00:00 PM,49.91,50.02,49.3,49.46,21.89026,-137.0802,448500
11/7/2018 2:00:00 PM,49.4,50.09,49.19,49.84,24.4286,-105.6748,587400
11/7/2018 3:00:00 PM,49.84,49.86,48.82,49.24,23.14941,-95.83016,1006700
11/7/2018 4:00:00 PM,49.28,49.32,48.35,48.47,21.58714,-94.65625,1138600
11/8/2018 10:00:00 AM,48.42,48.58,46.82,46.83,18.69351,-111.3823,866800
11/8/2018 11:00:00 AM,46.85,47.33,46.45,46.63,18.37011,-114.4325,853000
11/8/2018 12:00:00 PM,46.63,47.02,46.3,46.51,18.16703,-111.1011,338500
11/8/2018 1:00:00 PM,46.51,46.7,46.2,46.69,19.60274,-104.608,288200
11/8/2018 2:00:00 PM,46.71,47.79,46.64,47.01,22.21546,-78.47775,548100
11/8/2018 3:00:00 PM,47.06,49.05,46.71,48.49,33.05192,-36.69693,1127500
11/8/2018 4:00:00 PM,48.46,49,47.88,47.95,31.33654,-14.21759,1016600
11/9/2018 10:00:00 AM,49.25,49.9,48.65,49.75,42.11995,55.69897,1101000
