Timestamp,Open,High,Low,Close,Volume
12/28/2011 0:00,6798,7470,6798,7428,360
12/29/2011 0:00,7332,7344,7050,7074,210
12/30/2011 0:00,7074,7302,7020,7296,180
1/3/2012 0:00,6624,6702,6450,6528,380
1/4/2012 0:00,6714,6822,6258,6276,490
1/5/2012 0:00,6444,6570,5970,5988,700
1/6/2012 0:00,5886,6120,5676,5796,560
1/9/2012 0:00,5688,5784,5562,5622,370
1/10/2012 0:00,5280,5448,5178,5388,510
1/11/2012 0:00,5478,5592,5448,5544,430
1/12/2012 0:00,5502,5904,5388,5400,700
1/13/2012 0:00,5664,6012,5640,5688,1260
1/17/2012 0:00,5322,5664,5148,5604,810
1/18/2012 0:00,5532,5658,5184,5208,1180
1/19/2012 0:00,5058,5166,4896,4914,1230
1/20/2012 0:00,4962,5004,4596,4626,1310
1/23/2012 0:00,4602,4656,4320,4380,1360
1/24/2012 0:00,4596,4632,4368,4410,1290
1/25/2012 0:00,4410,4524,4014,4044,2100
1/26/2012 0:00,3870,4164,3846,4044,1390
1/27/2012 0:00,4158,4182,3834,3876,1260
1/30/2012 0:00,4158,4212,3996,4104,1260
1/31/2012 0:00,3918,4182,3888,4098,830
2/1/2012 0:00,3930,3990,3768,3882,1080
2/2/2012 0:00,3738,3780,3642,3648,1200
2/3/2012 0:00,3342,3408,3264,3264,1520
2/6/2012 0:00,3312,3330,3180,3186,740
2/7/2012 0:00,3204,3324,3174,3234,950
2/8/2012 0:00,3234,3426,3204,3384,1120
2/9/2012 0:00,3420,3726,3366,3720,1570
2/10/2012 0:00,4116,4812,4038,4356,2800
2/13/2012 0:00,3888,4002,3690,3696,1660
2/14/2012 0:00,3810,4374,3798,3918,2930
2/15/2012 0:00,3984,4422,3978,4362,4470
2/16/2012 0:00,4548,4710,3978,4008,4100
2/17/2012 0:00,4008,4008,4008,4008,0
2/21/2012 0:00,3804,4008,3780,3888,2840
2/22/2012 0:00,3942,3972,3660,3678,3890
2/23/2012 0:00,3684,3750,3162,3216,8480
2/24/2012 0:00,3126,3468,3078,3438,9190
2/27/2012 0:00,3678,3702,3282,3492,11390
2/28/2012 0:00,3576,3594,3390,3414,6910
2/29/2012 0:00,3300,3456,3174,3294,15640
3/1/2012 0:00,3264,3288,3126,3174,11090
3/2/2012 0:00,3162,3270,3108,3222,9060
3/5/2012 0:00,3270,3324,3162,3192,13710
3/6/2012 0:00,3594,3738,3462,3678,21480
3/7/2012 0:00,3582,3630,3306,3324,16860
3/8/2012 0:00,3128,3169,3010,3051,23990
3/9/2012 0:00,2957,2974,2805,2929,34960
3/12/2012 0:00,2850,2860,2639,2659,37900
3/13/2012 0:00,2506,2543,2374,2417,49380
3/14/2012 0:00,2378,2696,2369,2569,41260
3/15/2012 0:00,2624,2667,2486,2486,37790
3/16/2012 0:00,2450,2543,2439,2477,29250
3/19/2012 0:00,2442,2465,2145,2185,55570
3/20/2012 0:00,2273,2309,1972,1974,56860
3/21/2012 0:00,1892,1950,1734,1780,57000
3/22/2012 0:00,1926,1994,1778,1817,55090
3/23/2012 0:00,1800,1856,1554,1566,57590
3/26/2012 0:00,1449,1450,1260,1275,37560
3/27/2012 0:00,1314,1534,1304,1528,41080
3/28/2012 0:00,1522,1820,1475,1546,69690
3/29/2012 0:00,1739,1739,1502,1538,52990
3/30/2012 0:00,1407,1528,1400,1456,38420
4/2/2012 0:00,1473,1484,1350,1452,42190
4/3/2012 0:00,1438,1587,1414,1502,54440
4/4/2012 0:00,1647,1724,1540,1570,71480
4/5/2012 0:00,1646,1664,1555,1636,50040
4/9/2012 0:00,1839,1850,1709,1844,55380
4/10/2012 0:00,1866,2150,1811,2142,73070
4/11/2012 0:00,1925,2066,1883,2040,45850
4/12/2012 0:00,1997,2010,1677,1690,66350
4/13/2012 0:00,1665,1864,1664,1859,65260
4/16/2012 0:00,1720,1921,1686,1790,88280
4/17/2012 0:00,1668,1682,1552,1598,66790
4/18/2012 0:00,1637,1681,1558,1637,52480
4/19/2012 0:00,1636,1765,1560,1668,101110
4/20/2012 0:00,1598,1604,1528,1563,93950
4/23/2012 0:00,1712,1780,1643,1660,102660
4/24/2012 0:00,1650,1667,1581,1581,60610
4/25/2012 0:00,1456,1469,1386,1392,79640
4/26/2012 0:00,1400,1408,1268,1293,78140
4/27/2012 0:00,1281,1338,1262,1284,64420
4/30/2012 0:00,1318,1357,1300,1344,53650
5/1/2012 0:00,1337,1342,1225,1257,81970
5/2/2012 0:00,1316,1340,1255,1278,67820
5/3/2012 0:00,1262,1367,1242,1333,79130
5/4/2012 0:00,1360,1494,1355,1457,118980
5/7/2012 0:00,1517,1532,1373,1407,83440
5/8/2012 0:00,1462,1612,1417,1434,149620
5/9/2012 0:00,1575,1633,1451,1545,162580
